"inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency",,
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,197023589,201801,0,MTD,Jan  1 2018 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,48920348","9,201801,0,MTD,Jan  1 2018 12:00AM,IDR",
"Data Center,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,201801,0,YTD,Jan  1 2018 12:00AM,IDR",,
"Go Presence,ENLA,Direct Cost,COE,Digital Business,Recurring Business,0,201801,0,YTD,Jan  1 2018 12:00AM,IDR",,
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,27300782740,201801,0,YTD,Jan  1 2018 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,2121732424,201801,0,YTD,Jan  1 2018 12:00AM,IDR",,
"Other Data,SEAN,Direct Cost,COE,Data,Recurring Business,810185969,201801,0,YTD,Jan  1 2018 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-197023589,201802,0,MTD,Feb  1 2018 12:00AM,IDR",,
"Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201802,0,YTD,Feb  1 2018 12:00AM,IDR",,
"Go Presence,ENLA,Direct Cost,COE,Digital Business,Recurring Business,0,201802,0,YTD,Feb  1 2018 12:00AM,IDR",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,0,201802,0,YTD,Feb  1 2018 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,5934914370,201802,0,YTD,Feb  1 2018 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Revenue,Revenue,Data,Recurring Business,0,201802,0,YTD,Feb  1 2018 12:00AM,IDR",,
"Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201803,0,YTD,Mar  1 2018 12:00AM,IDR",,
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,201803,0,YTD,Mar  1 2018 12:00AM,IDR",,
"Go Presence,ROAM,Direct Cost,COE,Digital Business,Recurring Business,0,201803,0,YTD,Mar  1 2018 12:00AM,IDR",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,0,201803,0,YTD,Mar  1 2018 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201904,0,MTD,Apr  1 2019 12:00AM,IDR",,
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,0,202007,0,YTD,Jul  1 2020 12:00AM,IDR",,
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,20304258103,202008,0,MTD,Aug  1 2020 12:00AM,IDR",,
"Data Center,ROAM,Direct Cost,COE,Data Center,Recurring Business,2923530956,202202,3428570000,YTD,Feb  1 2022 12:00AM,IDR",,
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,35859583","46,202202,0,YTD,Feb  1 2022 12:00AM,IDR",
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,-6850823451,202202,0,YTD,Feb  1 2022 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,40000,202202,0,YTD,Feb  1 2022 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,3618477130,202202,3316220000,YTD,Feb  1 2022 12:00AM,IDR",,
