date_key,customer,bandwidth,subgroup,subgroup1,the_group,inner_group,inex,currency,type,date
202301,HM Sampoerna,7849,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2023-01-01 00:00:00.000
202301,Microsoft,60000,Revenue,Revenue,Data,IP Transit,External,IDR,MTD,2023-01-01 00:00:00.000
202301,Microsoft,30000,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2023-01-01 00:00:00.000
202301,Netflix,100000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2023-01-01 00:00:00.000
202301,PT. Artha Dana Teknologi,1,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2023-01-01 00:00:00.000
202207,Akamai International B.V,1250000,Revenue,Revenue,Data,CDN Infrastructure,External,USD,MTD,2022-07-01 00:00:00.000
202207,Amazon,1140200,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2022-07-01 00:00:00.000
202207,Conversant,0,Revenue,Revenue,Data,CDN Infrastructure,External,IDR,MTD,2022-07-01 00:00:00.000
202207,Edgecast Networks,0,Revenue,Revenue,Data,CDN Infrastructure,External,USD,MTD,2022-07-01 00:00:00.000
202207,Expereo,257,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-07-01 00:00:00.000
202207,JAPFA,75,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-07-01 00:00:00.000
202207,Level 3 Communication,630,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-07-01 00:00:00.000
202207,Nevigate Communication,20,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-07-01 00:00:00.000
202207,Orange Business Services,50,Revenue,Revenue,Data,IP Transit,External,USD,MTD,2022-07-01 00:00:00.000
202207,Orange Business Services,5025.9140625,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-07-01 00:00:00.000
202207,Orange Business Services,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2022-07-01 00:00:00.000
202207,PCCW,720,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-07-01 00:00:00.000
202207,PLDT,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-07-01 00:00:00.000
202207,Telkom DES,174,Revenue,Revenue,Data,IPLC/IEPL,Internal,IDR,MTD,2022-07-01 00:00:00.000
202208,Akamai International B.V,1350000,Revenue,Revenue,Data,CDN Infrastructure,External,USD,MTD,2022-08-01 00:00:00.000
202208,Bimasakti Multi Sinergi,20,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2022-08-01 00:00:00.000
